4911-Centrize
(x,y,z,r)
(-2.69782, -14.80272, 1.19057, 15.09358)
(3.46903, 14.72466, -0.21466, 15.12930)
(1.78601, -14.80272, 2.83114, 15.17649)
(14.11945, 5.70345, 0.02052, 15.22789)
(14.11945, -2.36382, -5.25796, 15.25099)
(14.11945, -2.36382, 5.29901, 15.26519)
(-15.03127, -2.36382, -1.27731, 15.26951)
(9.63563, 11.30696, 3.65845, 15.29957)
(-10.54744, 4.47158, -10.19371, 15.33477)
(-10.54744, -2.36382, 10.92023, 15.36514)
(9.63563, -7.96733, 8.93693, 15.36855)
(-4.38059, 9.12115, -11.59894, 15.39221)
(7.95285, -11.38503, 6.70439, 15.42127)
(-4.38059, 1.05388, 14.79349, 15.46439)
(-10.54744, 11.30696, 0.36326, 15.46699)
(-4.38059, -11.38503, 9.51500, 15.47074)
(7.95285, -5.78151, 11.98288, 15.50042)
(-2.69782, 4.47158, -14.64489, 15.54818)
(9.63563, -1.13194, -12.17701, 15.56940)
(-15.03127, -1.13194, 4.00118, 15.59582)
(-8.86442, -12.61690, 2.59595, 15.63659)
(1.78601, -7.96733, 13.38810, 15.68150)
(14.11945, 4.47158, -5.25796, 15.71624)
(14.11945, 4.47158, 5.29901, 15.73002)
(-15.03127, 4.47158, -1.27731, 15.73421)
(-10.54744, 4.47158, 10.92023, 15.82703)
(-2.69782, 12.53884, -9.36640, 15.88176)
(-8.86442, 1.05388, 13.15292, 15.89616)
(9.63563, 12.53884, -1.62004, 15.89630)
(-4.38059, 14.72466, 4.23652, 15.93591)
(1.78601, -9.19921, -13.00432, 16.02896)
(-8.86442, 2.28576, -13.23950, 16.09618)
(15.80247, 1.05388, -3.02527, 16.12393)
(15.80247, 2.28576, 2.25322, 16.12513)
(3.46903, 2.28576, 15.62079, 16.16379)
(14.11945, -7.96733, 0.02052, 16.21227)
(1.78601, -16.03460, -2.44735, 16.31832)
(9.63563, 11.30696, -6.89853, 16.37933)
(7.95285, 7.88927, 11.98288, 16.40359)
(-15.03127, -1.13194, -6.55579, 16.43772)
(-8.86442, -11.38503, 7.87444, 16.43787)
(-4.38059, -5.78151, 14.79349, 16.47612)
(9.63563, 5.70345, -12.17701, 16.54250)
(-15.03127, 5.70345, 4.00118, 16.56737)
(-8.86442, -4.54964, -13.23950, 16.56990)
(3.46903, 2.28576, -16.05011, 16.57905)
(-4.38059, 15.95654, -1.04197, 16.57970)
(15.80247, -4.54964, 2.25322, 16.59802)
(-4.38059, 14.72466, -6.32045, 16.61185)
(7.95285, 2.28576, -14.40955, 16.61649)
(3.46903, -4.54964, 15.62079, 16.63558)
(3.46903, -12.61690, 10.34231, 16.67884)
(-2.69782, -16.03460, -4.08792, 16.76596)
(1.78601, -14.80272, -7.72584, 16.79282)
(7.95285, 14.72466, 1.42591, 16.79573)
(-4.38059, -11.38503, -11.59894, 16.83282)
(-8.86442, -5.78151, 13.15292, 16.88203)
(3.46903, -12.61690, -10.77163, 16.94840)
(-16.71404, 2.28576, 1.76864, 16.96207)
(3.46903, -4.54964, -16.05011, 17.03935)
(7.95285, -4.54964, -14.40955, 17.07578)
(3.46903, 15.95654, 5.06383, 17.09642)
(15.80247, -5.78151, -3.02527, 17.09668)
(-10.54744, 12.53884, -4.91523, 17.10644)
(-16.71404, 1.05388, -3.50984, 17.11107)
(3.46903, 15.95654, -5.49314, 17.22846)
(-10.54744, -9.19921, -10.19371, 17.31432)
(1.78601, 11.30696, -13.00432, 17.32483)
(-4.38059, 7.88927, 14.79349, 17.32851)
(-10.54744, 12.53884, 5.64175, 17.32917)
(9.63563, -2.36382, 14.21541, 17.33525)
(-8.86442, -12.61690, -7.96102, 17.35344)
(-15.03127, 5.70345, -6.55579, 17.36222)
(-8.86442, 14.72466, 2.59595, 17.38196)
(-2.69782, 12.53884, 11.74754, 17.39268)
(-2.69782, -2.36382, 17.02602, 17.39975)
(-16.71404, -4.54964, 1.76864, 17.41225)
(9.63563, -7.96733, -12.17701, 17.45289)
(-4.38059, 1.05388, -16.87742, 17.46848)
(-15.03127, -7.96733, 4.00118, 17.47646)
(7.95285, -12.61690, -9.13106, 17.48743)
(-2.69782, -16.03460, 6.46906, 17.49958)
(-2.69782, -9.19921, -14.64489, 17.50361)
(15.80247, 1.05388, 7.53170, 17.53726)
(14.11945, -9.19921, -5.25796, 17.65306)
(14.11945, -1.13194, -10.53644, 17.65381)
(14.11945, -9.19921, 5.29901, 17.66533)
(-15.03127, -9.19921, -1.27731, 17.66906)
(14.11945, -1.13194, 10.57749, 17.67834)
(-8.86442, 7.88927, 13.15292, 17.71490)
(-2.69782, -14.80272, -9.36640, 17.72366)
(9.63563, -14.80272, -1.62004, 17.73670)
(9.63563, 4.47158, 14.21541, 17.74594)
(-10.54744, -9.19921, 10.92023, 17.75177)
(-2.69782, 4.47158, 17.02602, 17.80895)
(-15.03127, -2.36382, 9.27967, 17.82242)
(15.80247, 7.88927, -3.02527, 17.91957)
(15.80247, 2.28576, -8.30375, 17.99709)
(-16.71404, -5.78151, -3.50984, 18.03064)
(1.78601, -16.03460, 8.10962, 18.05724)
(9.63563, 12.53884, 8.93693, 18.16415)
(-16.71404, 1.05388, 7.04713, 18.16953)
(-15.03127, 4.47158, 9.27967, 18.22213)
(-15.03127, -7.96733, -6.55579, 18.23172)
(7.95285, 15.95654, -3.85258, 18.24010)
(3.46903, 14.72466, 10.34231, 18.32521)
(-8.86442, 9.12115, -13.23950, 18.35913)
(-4.38059, -5.78151, -16.87742, 18.37016)
(15.80247, 9.12115, 2.25322, 18.38452)
(1.78601, 18.14236, -2.44735, 18.39360)
(1.78601, -1.13194, -18.28280, 18.40467)
(3.46903, 9.12115, 15.62079, 18.41843)
(15.80247, -4.54964, -8.30375, 18.42199)
(1.78601, 12.53884, 13.38810, 18.42969)
(15.80247, -5.78151, 7.53170, 18.43558)
(-8.86442, 15.95654, -2.68253, 18.44952)
(14.11945, 5.70345, -10.53644, 18.51769)
(-10.54744, 11.30696, -10.19371, 18.52047)
(14.11945, 5.70345, 10.57749, 18.54108)
(3.46903, 14.72466, -10.77163, 18.57088)
(-2.69782, 11.30696, -14.64489, 18.69755)
(-10.54744, -1.13194, -15.47219, 18.75949)
(-4.38059, -18.22042, -1.04197, 18.76856)
(3.46903, 9.12115, -16.05011, 18.78392)
(-2.69782, 18.14236, -4.08792, 18.79187)
(-16.71404, 7.88927, -3.50984, 18.81273)
(7.95285, 9.12115, -14.40955, 18.81697)
(-10.54744, -14.80272, -4.91523, 18.82893)
(14.11945, 11.30696, -5.25796, 18.83753)
(14.11945, 11.30696, 5.29901, 18.84903)
(-15.03127, 11.30696, -1.27731, 18.85253)
(14.11945, 12.53884, 0.02052, 18.88338)
(1.78601, -2.36382, 18.66659, 18.90024)
(-10.54744, 11.30696, 10.92023, 18.93007)
(-8.86442, 14.72466, -7.96102, 18.94126)
(-16.71404, 2.28576, -8.78833, 19.02153)
(-10.54744, -14.80272, 5.64175, 19.03151)
(-16.71404, -5.78151, 7.04713, 19.03804)
(7.95285, 15.95654, 6.70439, 19.04751)
(9.63563, -16.03460, 3.65845, 19.06142)
(7.95285, 14.72466, -9.13106, 19.06410)
(-4.38059, 15.95654, 9.51500, 19.08758)
(-2.69782, -14.80272, 11.74754, 19.08936)
(-16.71404, 9.12115, 1.76864, 19.12283)
(7.95285, -12.61690, 11.98288, 19.13174)
(-4.38059, 7.88927, -16.87742, 19.13838)
(7.95285, 2.28576, 17.26136, 19.14229)
(-10.54744, -16.03460, 0.36326, 19.19606)
(15.80247, 7.88927, 7.53170, 19.20118)
(3.46903, -18.22042, 5.06383, 19.22655)
(1.78601, 5.70345, -18.28280, 19.23487)
(-15.03127, -2.36382, -11.83428, 19.27632)
(1.78601, 4.47158, 18.66659, 19.27761)
(14.11945, -7.96733, -10.53644, 19.33530)
(3.46903, -18.22042, -5.49314, 19.34405)
(14.11945, -7.96733, 10.57749, 19.35770)
(-10.54744, -1.13194, 16.19871, 19.36306)
(-16.71404, -4.54964, -8.78833, 19.42403)
(-2.69782, 18.14236, 6.46906, 19.44922)
(9.63563, -9.19921, 14.21541, 19.48201)
(-2.69782, -9.19921, 17.02602, 19.53942)
(7.95285, -4.54964, 17.26136, 19.54230)
(-10.54744, 5.70345, -15.47219, 19.57464)
(-8.86442, -11.38503, -13.23950, 19.58267)
(-2.69782, 19.37423, 1.19057, 19.59736)
(15.80247, -11.38503, 2.25322, 19.60648)
(3.46903, -11.38503, 15.62079, 19.63828)
(-15.03127, 4.47158, -11.83428, 19.64647)
(1.78601, 19.37423, 2.83114, 19.66128)
(3.46903, -19.45229, -0.21466, 19.76036)
(-16.71404, 7.88927, 7.04713, 19.78034)
(9.63563, -14.80272, 8.93693, 19.79481)
(-8.86442, 15.95654, 7.87444, 19.87953)
(-15.03127, -9.19921, 9.27967, 19.91674)
(-4.38059, -12.61690, 14.79349, 19.93045)
(9.63563, -16.03460, -6.89853, 19.93849)
(1.78601, 18.14236, 8.10962, 19.95247)
(9.63563, 12.53884, -12.17701, 19.95864)
(-15.03127, 12.53884, 4.00118, 19.97926)
(3.46903, -11.38503, -16.05011, 19.98147)
(7.95285, -11.38503, -14.40955, 20.01254)
(1.78601, -7.96733, -18.28280, 20.02321)
(1.78601, -14.80272, 13.38810, 20.03876)
(15.80247, 9.12115, -8.30375, 20.04659)
(9.63563, -2.36382, -17.45549, 20.07803)
(-2.69782, -1.13194, -19.92337, 20.13704)
(-10.54744, 5.70345, 16.19871, 20.15381)
(-4.38059, 15.95654, -11.59894, 20.20732)
