6121-Centrize
(x,y,z,r)
(8.13157, -8.80508, -2.63386, 12.27147)
(-8.09296, 4.72353, -7.92758, 12.27413)
(-0.74408, -11.85202, 3.10958, 12.27573)
(4.24049, 11.55892, -0.18122, 12.31354)
(-12.06162, -0.67260, -2.43713, 12.32374)
(-4.20188, 10.41891, -5.10173, 12.33844)
(-8.09296, -8.94725, 2.62939, 12.34759)
(10.40721, -5.52956, 3.69196, 12.34976)
(8.13157, 4.86570, 7.92311, 12.35205)
(10.40721, -6.52739, -1.58653, 12.38684)
(11.61145, -3.10969, 3.01172, 12.39219)
(6.80732, -6.09095, -8.39199, 12.40423)
(-9.08679, -0.67260, 8.42097, 12.40705)
(4.26256, 8.65415, 7.81002, 12.41210)
(-10.77980, 0.16583, -6.15519, 12.41442)
(9.04461, -6.09095, 5.94411, 12.41922)
(-10.36873, -6.66956, 1.58198, 12.42965)
(-4.20188, 11.70109, 0.17675, 12.43393)
(-11.69285, 4.16214, 1.10241, 12.46039)
(4.24049, 10.56109, 5.09726, 12.46998)
(-1.90416, 3.21277, -11.89862, 12.47096)
(4.24049, 4.72353, -10.73819, 12.47406)
(-4.61296, -8.80508, -7.56041, 12.48874)
(-4.20188, 10.41891, 5.45524, 12.48876)
(-5.89489, -10.92569, 1.43605, 12.49731)
(-4.20188, 4.86570, 10.73372, 12.51174)
(-10.36873, 1.44801, 6.86047, 12.51692)
(10.40721, 1.30583, -6.86501, 12.53569)
(11.61145, 3.72570, 3.01172, 12.56093)
(0.64060, -2.67325, -12.26517, 12.56945)
(-9.08679, -4.54895, -7.41438, 12.57918)
(-1.90416, -3.62262, -11.89862, 12.58278)
(-12.06162, 2.28644, 2.84135, 12.60094)
(-10.36873, 7.00122, 1.58198, 12.61072)
(11.58937, -0.20493, -4.97952, 12.61551)
(4.24049, 10.56109, -5.45971, 12.62247)
(11.58937, -5.01663, 0.29897, 12.63208)
(10.42929, 3.21277, 6.40471, 12.65355)
(5.44473, 0.30800, -11.41843, 12.65387)
(9.04461, 7.57983, -4.61286, 12.67033)
(-11.69285, -2.54830, -4.17608, 12.67502)
(6.80732, 7.70478, 7.44346, 12.69285)
(9.41338, 5.70413, -6.35181, 12.70804)
(10.40721, 7.14339, -1.58653, 12.72223)
(11.61145, 4.72353, -2.26677, 12.73874)
(-0.74408, -0.20493, -12.72588, 12.74926)
(6.43855, -10.92569, -1.37456, 12.75598)
(10.42929, -3.62262, 6.40471, 12.76377)
(-3.28884, 0.74444, -12.35922, 12.81097)
(-6.88872, -6.52739, -8.60782, 12.81233)
(-1.90416, 12.07185, 3.93684, 12.83955)
(1.55364, -12.22277, -3.68731, 12.86103)
(11.58937, -0.20493, 5.57745, 12.86326)
(12.60528, -0.67260, 2.49862, 12.86812)
(-6.88872, 8.14122, 7.22763, 12.88304)
(4.26256, -11.85202, -2.74695, 12.89130)
(5.44473, -6.52739, 9.69551, 12.89398)
(-4.61296, 11.70109, 2.99656, 12.92959)
(-2.92007, 2.74509, 12.29415, 12.93091)
(0.64060, 4.16214, -12.26517, 12.96797)
(-6.91080, 10.04816, 4.51488, 13.00418)
(0.64060, -9.50864, 8.84877, 13.00482)
(1.96472, -12.22277, 4.04986, 13.02527)
(9.41338, -7.96665, 4.20516, 13.02930)
(2.87789, -9.50864, -8.48604, 13.06558)
(7.72049, -1.96969, -10.37102, 13.07837)
(-6.91080, 5.23646, 9.79336, 13.08012)
(-5.52612, -5.96600, 10.25407, 13.08729)
(-8.09296, -9.94508, -2.64910, 13.09268)
(-13.07752, -0.20493, 0.64170, 13.09486)
(12.60528, 2.28644, -2.77987, 13.10910)
(-11.69285, 4.28709, -4.17608, 13.13550)
(-6.88872, 7.14339, -8.60782, 13.13686)
(0.64060, 11.12248, -6.98669, 13.15043)
(-1.92624, -12.36495, -4.05440, 13.15448)
(6.80732, 7.57983, -8.39199, 13.19921)
(-12.06162, -4.54895, 2.84135, 13.20034)
(9.04461, 7.57983, 5.94411, 13.21330)
(5.44473, 7.14339, 9.69551, 13.21651)
(8.13157, -10.08726, 2.64463, 13.22381)
(2.87789, -2.67325, 12.62790, 13.22469)
(12.97405, -2.54830, 0.75967, 13.24375)
(-9.08679, 9.12183, 3.14259, 13.25343)
(-2.92007, -4.09030, 12.29415, 13.28170)
(-6.91080, -10.45801, 4.51488, 13.32341)
(-9.45556, -9.38369, -0.39705, 13.32738)
(-2.92007, 9.58048, -8.81979, 13.34545)
(-2.92007, 12.53952, -3.54120, 13.35314)
(-6.91080, -1.59894, -11.32057, 13.35931)
(-8.07088, 1.81876, -10.49331, 13.36251)
(7.72049, -1.96969, 10.74292, 13.37520)
(-10.77980, -6.66956, 4.40179, 13.41875)
(9.04461, 0.86939, -9.89145, 13.43136)
(-0.72200, -8.94725, -10.01312, 13.44757)
(-3.28884, -12.92634, -1.80225, 13.45937)
(10.42929, -8.43432, 1.12623, 13.46017)
(-8.07088, 1.81876, 10.62063, 13.46272)
(9.41338, 9.58048, -1.07343, 13.47403)
(8.13157, 10.41891, 2.64463, 13.47851)
(-10.36873, -5.38738, 6.86047, 13.54992)
(-1.92624, -13.36278, 1.22408, 13.55628)
(-13.05545, -3.10969, -1.92403, 13.55790)
(-11.69285, -2.54830, 6.38089, 13.56216)
(-8.09296, 10.56109, -2.64910, 13.56651)
(-5.52612, -5.96600, -10.85987, 13.56716)
(-10.77980, 7.00122, 4.40179, 13.58664)
(2.87789, 4.16214, 12.62790, 13.60402)
(-1.92624, -6.52739, 11.78105, 13.60553)
(-6.91080, 10.04816, -6.04209, 13.60998)
(-10.77980, 8.28340, -0.87670, 13.62305)
(2.87789, 11.12248, 7.34931, 13.63833)
(10.40721, -5.52956, -6.86501, 13.63871)
(9.41338, 2.74509, 9.48354, 13.64129)
(-5.89489, 2.74509, 11.99302, 13.64250)
(-13.05545, -2.11186, 3.35446, 13.64394)
(-0.74408, 13.46586, -2.16891, 13.65969)
(-3.28884, -12.80139, 3.47613, 13.66658)
(1.96472, -6.66956, -11.78560, 13.68370)
(12.97405, 4.28709, 0.75967, 13.68511)
(7.72049, -10.08726, -5.09254, 13.68549)
(12.60528, -4.54895, -2.77987, 13.68626)
(1.55364, -13.50495, 1.59118, 13.68683)
(1.96472, -13.50495, -1.22863, 13.70231)
(5.42265, 12.07185, -3.57422, 13.70801)
(-13.05545, 3.72570, -1.92403, 13.71231)
(-10.36873, 0.16583, -8.97499, 13.71453)
(10.40721, 8.14122, 3.69196, 13.71933)
(10.40721, 0.30800, 8.97044, 13.74313)
(-12.06162, 6.16279, -2.43713, 13.76235)
(-1.90416, 10.04816, 9.21532, 13.76639)
(4.26256, -0.20493, 13.08850, 13.76664)
(-10.36873, 8.28340, -3.69650, 13.77641)
(5.42265, 3.21277, 12.26124, 13.78640)
(-0.74408, 1.81876, 13.66654, 13.80710)
(7.72049, 4.86570, -10.37102, 13.81445)
(7.72049, -10.08726, 5.46443, 13.82819)
(6.43855, 2.74509, -11.93153, 13.83300)
(-9.08679, 6.16279, 8.42097, 13.83700)
(-4.61296, -10.08726, 8.27504, 13.83866)
(1.96472, 7.00122, -11.78560, 13.84837)
(9.41338, -7.96665, -6.35181, 13.87172)
(5.42265, -3.62262, 12.26124, 13.88764)
(-1.90416, 12.07185, -6.62013, 13.89897)
(-1.92624, 7.14339, 11.78105, 13.91157)
(-6.91080, -10.45801, -6.04209, 13.91531)
(-6.91080, 12.07185, -0.76361, 13.93096)
(0.27183, 9.12183, -10.52623, 13.93137)
(7.72049, 10.41891, -5.09254, 13.93175)
(13.88709, 0.16583, -1.21944, 13.94151)
(1.55364, -6.66956, 12.14815, 13.94541)
(-5.52612, -12.80139, -0.30290, 13.94651)
(-5.52612, 7.70478, 10.25407, 13.96595)
(9.41338, -4.09030, 9.48354, 13.97426)
(-5.89489, -4.09030, 11.99302, 13.97544)
(0.27183, 9.12183, 10.58771, 13.97789)
(1.96472, -12.22277, -6.50711, 13.98566)
(-11.69285, 4.28709, 6.38089, 13.99348)
(-13.07752, 1.81876, -4.63679, 13.99390)
(12.97405, -2.67325, -4.51881, 13.99614)
(1.55364, 13.83661, 1.59118, 14.01418)
(-0.74408, -11.85202, -7.44740, 14.01741)
(7.72049, 11.70109, 0.18595, 14.01985)
(0.27183, 12.99818, -5.24774, 14.02017)
(-4.61296, -3.25187, -12.83890, 14.02467)
(1.96472, 13.83661, -1.22863, 14.02930)
(0.27183, 12.99818, 5.30923, 14.04331)
(-0.74408, -13.87571, -2.16891, 14.06389)
(-1.90416, -10.45801, 9.21532, 14.06833)
(7.72049, 10.41891, 5.46443, 14.07195)
(3.24666, 9.12183, -10.22499, 14.08186)
(-4.61296, 10.41891, 8.27504, 14.08224)
(4.26256, 1.81876, -13.30392, 14.08800)
(-10.77980, -6.66956, -6.15519, 14.09161)
(7.72049, 4.86570, 10.74292, 14.09579)
(-1.92624, -12.36495, 6.50257, 14.10268)
(-4.61296, 3.58352, -12.83890, 14.10526)
(1.55364, -12.22277, 6.86966, 14.10681)
(1.55364, 7.00122, 12.14815, 14.10703)
(-9.45556, -2.54830, 10.15992, 14.11118)
(0.64060, 10.99753, 8.84877, 14.12999)
(10.42929, -1.59894, -9.43074, 14.15152)
(-8.07088, -5.01663, -10.49331, 14.15681)
(6.43855, -4.09030, -11.93153, 14.16146)
(-1.92624, 13.97878, 1.22408, 14.16387)
(-3.28884, -6.09095, -12.35922, 14.16567)
(2.87789, 10.99753, -8.48604, 14.18593)
(11.61145, -3.10969, -7.54525, 14.19249)
(5.44473, -12.36495, 4.41703, 14.21432)
(5.44473, -6.52739, -11.41843, 14.23490)
(-4.20188, -8.80508, -10.38022, 14.24549)
(11.58937, 6.63047, -4.97952, 14.25034)
(-8.07088, -5.01663, 10.62063, 14.25144)
