6121-Centrize
(x,y,z,r)

(-0.48273, -3.22671, -0.63901, 3.32461)
(-2.16551, 1.42286, 2.40694, 3.53656)
(-2.16551, 0.19098, -2.87155, 3.60162)
(-0.48273, 3.60868, -0.63901, 3.69647)
(-0.48273, -1.99484, 4.63948, 5.07318)
(4.00109, -3.22671, 1.00156, 5.23675)
(4.00109, 3.60868, 1.00156, 5.48037)
(4.00109, -1.99484, -4.27693, 6.18710)
(5.68412, 1.42286, -2.04424, 6.20585)
(-0.48273, -1.99484, -5.91749, 6.26332)
(-2.16551, -5.41254, 2.40694, 6.30701)
(5.68412, 0.19098, 3.23425, 6.54263)
(-0.48273, 4.84055, 4.63948, 6.72225)
(-6.64933, 1.42286, 0.76637, 6.84291)
(-2.16551, -6.64441, -2.87155, 7.55535)
(4.00109, 4.84055, -4.27693, 7.59815)
(-0.48273, 4.84055, -5.91749, 7.66033)
(4.00109, -1.99484, 6.28004, 7.70889)
(-2.16551, 7.02637, -2.87155, 7.89336)
(-2.16551, 0.19098, 7.68542, 7.98697)
(-6.64933, 0.19098, -4.51211, 8.03799)
(5.68412, -5.41254, -2.04424, 8.11071)
(-2.16551, 1.42286, -8.15003, 8.55201)
(-6.64933, -5.41254, 0.76637, 8.60793)
(-8.33235, -1.99484, -1.46632, 8.69239)
(-2.16551, 8.25825, 2.40694, 8.87025)
(4.00109, 4.84055, 6.28004, 8.88136)
(-6.64933, 0.19098, 6.04486, 8.98835)
(5.68412, 0.19098, -7.32272, 9.27189)
(5.68412, -6.64441, 3.23425, 9.32297)
(5.68412, 7.02637, 3.23425, 9.59893)
(-8.33235, -3.22671, 3.81217, 9.71455)
(-8.33235, 4.84055, -1.46632, 9.74726)
(-8.33235, 3.60868, 3.81217, 9.84801)
(-0.48273, -8.83023, 4.63948, 9.98653)
(-2.16551, -5.41254, -8.15003, 10.02038)
(-0.48273, -10.06211, -0.63901, 10.09393)
(5.68412, 8.25825, -2.04424, 10.23165)
(10.16794, 1.42286, -0.40367, 10.27494)
(5.68412, 1.42286, 8.51273, 10.33442)
(-2.16551, -6.64441, 7.68542, 10.38765)
(-6.64933, -6.64441, -4.51211, 10.42693)
(-0.48273, -3.22671, 9.91796, 10.44082)
(-0.48273, 10.44407, -0.63901, 10.47472)
(-0.48273, 3.60868, 9.91796, 10.56511)
(4.00109, -8.83023, -4.27693, 10.59594)
(-6.64933, 8.25825, 0.76637, 10.63013)
(-2.16551, 7.02637, 7.68542, 10.63602)
(-0.48273, -8.83023, -5.91749, 10.64062)
(-6.64933, 7.02637, -4.51211, 10.67439)
(4.00109, -3.22671, -9.55541, 10.85018)
(4.00109, -10.06211, 1.00156, 10.87464)
(4.00109, 3.60868, -9.55541, 10.96983)
(-6.64933, -6.64441, 6.04486, 11.17596)
(-8.33235, -3.22671, -6.74480, 11.19518)
(4.00109, 10.44407, 1.00156, 11.22900)
(10.16794, 0.19098, 4.87481, 11.27773)
(-8.33235, 3.60868, -6.74480, 11.31119)
(5.68412, -6.64441, -7.32272, 11.40524)
(-6.64933, 7.02637, 6.04486, 11.40718)
(10.16794, -5.41254, -0.40367, 11.52586)
(4.00109, -8.83023, 6.28004, 11.55079)
(5.68412, -5.41254, 8.51273, 11.57892)
(5.68412, 7.02637, -7.32272, 11.63191)
(10.16794, 0.19098, -5.68216, 11.64948)
(-0.48273, -3.22671, -11.19598, 11.66167)
(-0.48273, 3.60868, -11.19598, 11.77308)
(-2.16551, 8.25825, -8.15003, 11.80301)
(-6.64933, 1.42286, -9.79060, 11.92031)
(11.85072, -1.99484, 1.82887, 12.15580)
(-8.33235, -8.83023, -1.46632, 12.22911)
(-8.33235, -1.99484, 9.09065, 12.49189)
(-0.48273, 11.67594, 4.63948, 12.57320)
(4.00109, -3.22671, 11.55853, 12.64990)
(-2.16551, -12.24792, 2.40694, 12.66864)
(4.00109, 3.60868, 11.55853, 12.75268)
(11.85072, -3.22671, -3.44962, 12.75739)
(11.85072, 3.60868, -3.44962, 12.85931)
(11.85072, 4.84055, 1.82887, 12.93117)
(-6.64933, -5.41254, -9.79060, 13.01403)
(4.00109, 11.67594, -4.27693, 13.06248)
(10.16794, -6.64441, 4.87481, 13.08812)
(-0.48273, 11.67594, -5.91749, 13.09875)
(10.16794, 8.25825, -0.40367, 13.10529)
(5.68412, 8.25825, 8.51273, 13.15197)
(-6.64933, 1.42286, 11.32334, 13.20819)
(-2.16551, 1.42286, 12.96391, 13.22032)
(-8.33235, 4.84055, 9.09065, 13.24760)
(10.16794, 7.02637, 4.87481, 13.28611)
(-12.81618, -1.99484, -3.10688, 13.33741)
(-12.81618, -3.22671, 2.17160, 13.39335)
(10.16794, -6.64441, -5.68216, 13.40978)
(-12.81618, 3.60868, 2.17160, 13.49047)
(10.16794, 7.02637, -5.68216, 13.60308)
(-2.16551, 0.19098, -13.42852, 13.60334)
(-8.33235, -10.06211, 3.81217, 13.60907)
(5.68412, -12.24792, -2.04424, 13.65649)
(4.00109, 11.67594, 6.28004, 13.84829)
(-8.33235, 10.44407, 3.81217, 13.89386)
(5.68412, 1.42286, -12.60121, 13.89691)
(-2.16551, -13.47980, -2.87155, 13.95135)
(-6.64933, -12.24792, 0.76637, 13.95753)
(-12.81618, 4.84055, -3.10688, 14.04771)
(-0.48273, -10.06211, 9.91796, 14.13665)
(11.85072, -3.22671, 7.10735, 14.19033)
(-6.64933, -5.41254, 11.32334, 14.20307)
(-2.16551, -5.41254, 12.96391, 14.21435)
(11.85072, 3.60868, 7.10735, 14.28203)
(-2.16551, 13.86176, -2.87155, 14.32074)
(-0.48273, 10.44407, 9.91796, 14.41102)
(-8.33235, 11.67594, -1.46632, 14.41894)
(-6.64933, 8.25825, -9.79060, 14.43149)
(10.16794, 1.42286, 10.15330, 14.43956)
(4.00109, -10.06211, -9.55541, 14.44163)
(-14.49895, 0.19098, -0.06094, 14.50034)
(-8.33235, -10.06211, -6.74480, 14.70260)
(4.00109, 10.44407, -9.55541, 14.71031)
(-8.33235, -1.99484, -12.02329, 14.76370)
(5.68412, -5.41254, -12.60121, 14.84571)
(11.85072, -1.99484, -8.72810, 14.85256)
(-2.16551, -12.24792, -8.15003, 14.87024)
(11.85072, -8.83023, 1.82887, 14.89151)
(5.68412, 0.19098, 13.79122, 14.91788)
(-12.81618, -1.99484, 7.45009, 14.95786)
(-8.33235, 10.44407, -6.74480, 14.96660)
(5.68412, -13.47980, 3.23425, 14.98247)
(10.16794, 1.42286, -10.96064, 15.01823)
(-0.48273, -10.06211, -11.19598, 15.06084)
(-2.16551, -6.64441, -13.42852, 15.13812)
(-8.33235, -8.83023, 9.09065, 15.16710)
(-2.16551, 7.02637, -13.42852, 15.30962)
