4911-Centrize
(x,y,z,r)

(-0.66144, 1.02873, -1.85773, 2.22417)
(-1.57449, -1.68540, 0.12138, 2.30962)
(2.04748, 0.65797, -0.91737, 2.33809)
(0.66280, -1.81035, -1.37797, 2.36970)
(-0.25037, 2.31091, 0.60095, 2.40086)
(1.03157, 0.19030, 2.16146, 2.40255)
(-1.94326, 0.19030, 1.86032, 2.69690)
(2.02540, -2.24679, 1.64836, 3.44491)
(-2.95917, 2.68166, -0.33933, 4.00788)
(3.22964, 2.16873, 0.96812, 4.00889)
(-0.66144, 2.31091, 3.42076, 4.18083)
(-4.11925, -0.73603, 0.48793, 4.21284)
(4.22347, -0.26836, 0.45502, 4.25637)
(0.66280, -1.68540, 3.90041, 4.30035)
(-2.93709, -1.24896, -2.90506, 4.31576)
(2.02540, -1.24896, -3.63013, 4.34050)
(-2.93709, -2.24679, 2.37343, 4.39405)
(1.03157, 3.14934, -3.11692, 4.54947)
(-0.25037, -4.52448, 0.60095, 4.57108)
(3.20756, -2.75972, -1.74464, 4.57693)
(-0.25037, 1.02873, -4.67754, 4.79586)
(3.20756, -0.73603, 3.53385, 4.82890)
(-4.14133, 1.17090, -2.22482, 4.84473)
(1.03157, -3.68605, -3.11692, 4.93623)
(4.59224, 1.60734, -1.28393, 5.03196)
(-1.94326, 3.14934, -3.41816, 5.03770)
(-2.95917, -4.15373, -0.33933, 5.11129)
(0.66280, 5.02504, -1.37797, 5.25253)
(2.02540, 4.58860, 1.64836, 5.27964)
(-1.57449, 5.14999, 0.12138, 5.38666)
(-1.94326, -3.68605, -3.41816, 5.38953)
(3.20756, 4.07567, -1.74464, 5.47204)
(3.22964, 1.17090, -4.31037, 5.51188)
(2.04748, 2.68166, 4.36111, 5.51387)
(-4.14133, 2.16873, 3.05366, 5.58380)
(-1.57449, -1.81035, -5.15711, 5.68790)
(-0.66144, -4.52448, 3.42076, 5.71052)
(3.22964, -4.66666, 0.96812, 5.75721)
(-5.50392, 1.73229, 0.02723, 5.77016)
(-2.95917, 0.65797, 4.93915, 5.79524)
(-1.57449, -1.81035, 5.39986, 5.90888)
(-2.93709, 4.58860, 2.37343, 5.94263)
(-0.25037, 1.02873, 5.87944, 5.97400)
(-0.66144, -5.80666, -1.85773, 6.13238)
(-5.13516, -0.26836, 3.56687, 6.25815)
(-5.13516, -3.22740, -1.71172, 6.30206)
(4.59224, 1.73229, 3.99456, 6.32819)
(5.50540, -2.38897, 2.01553, 6.33080)
(2.04748, -4.15373, 4.36111, 6.36121)
(-2.95917, 0.65797, -5.61782, 6.38353)
(5.91648, -2.38897, -0.80428, 6.43108)
(0.66280, 5.14999, 3.90041, 6.49422)
(5.50540, -1.10679, -3.26296, 6.49472)
(-5.13516, 3.60799, -1.71172, 6.50518)
(2.04748, -6.17742, -0.91737, 6.57223)
(-4.11925, -2.75972, -4.79055, 6.89447)
(0.66280, -1.68540, -6.65657, 6.89853)
(-6.82804, -1.10679, -0.45235, 6.93194)
(-4.14133, -4.66666, 3.05366, 6.94645)
(-2.93709, 5.58643, -2.90506, 6.94795)
(2.02540, 5.58643, -3.63013, 6.96335)
(2.04748, 2.68166, -6.19586, 7.05494)
(1.03157, -6.64509, 2.16146, 7.06352)
(4.59224, -5.22805, -1.28393, 7.07599)
(3.22964, 1.17090, 6.24661, 7.12893)
(-6.41697, -2.38897, 2.00633, 7.13513)
(-1.94326, -6.64509, 1.86032, 7.16898)
(4.22347, -3.22740, -4.82347, 7.17771)
(7.19829, -0.26836, 0.75626, 7.24288)
