6121-Centrize
(x,y,z,r)

(0.00000, 0.00000, 0.00000, 0.00000)
(1.30340, -0.86290, -3.08628, 3.45956)
(3.51849, 0.00000, 0.36262, 3.53712)
(1.30340, 2.47674, 2.19220, 3.55511)
(-2.64824, -1.80386, 1.76793, 3.65960)
(2.21509, 2.47674, -1.82958, 3.79318)
(2.21509, -0.86290, 3.44891, 4.18881)
(-3.95164, 2.55480, -0.42427, 4.72466)
(1.30340, -4.35866, 2.19220, 5.05000)
(2.21509, -4.35866, -1.82958, 5.22033)
(-4.86332, -0.94096, -1.68098, 5.23097)
(0.00000, 1.61384, -5.27848, 5.51968)
(0.00000, 1.61384, 5.27849, 5.51968)
(-2.64824, -3.41770, -3.51056, 5.56936)
(-2.64824, 3.41770, -3.51056, 5.56936)
(-3.95164, -4.28060, -0.42427, 5.84114)
(-2.64824, 5.03153, 1.76793, 5.95441)
(3.51849, 1.61384, -4.91586, 6.25699)
(-3.95164, -0.94096, 4.85421, 6.32963)
(-4.86332, 2.55480, 3.59751, 6.56666)
(-6.16672, -1.80386, 1.40531, 6.57703)
(6.16672, -1.80386, -1.40530, 6.57703)
(0.00000, 6.83539, 0.00000, 6.83539)
(0.00000, -6.83539, 0.00000, 6.83539)
(3.51849, 1.61384, 5.64111, 6.84151)
(1.30340, 5.97249, -3.08628, 6.84797)
(-3.95164, -0.94096, -5.70276, 7.00159)
(2.21509, 5.97249, 3.44891, 7.24377)
(-4.86332, -4.28060, 3.59751, 7.41063)
(0.00000, -5.22156, -5.27848, 7.42476)
(0.00000, -5.22156, 5.27849, 7.42476)
(2.21509, -0.86290, -7.10806, 7.49505)
(1.30340, -0.86290, 7.47069, 7.63247)
(3.51849, 6.83539, 0.36262, 7.69635)
(3.51849, -6.83539, 0.36262, 7.69635)
(-4.86332, 5.89443, -1.68098, 7.82444)
(7.47012, 2.55480, 0.78690, 7.93404)
(3.51849, -5.22156, -4.91586, 7.98812)
(-6.16672, -3.41770, -3.87318, 8.04429)
(-6.16672, 3.41770, -3.87318, 8.04429)
(6.16672, -3.41770, 3.87318, 8.04429)
(6.16672, 3.41770, 3.87318, 8.04429)
(-6.16672, 5.03153, 1.40531, 8.08206)
(6.16672, 5.03153, -1.40530, 8.08206)
(-2.64824, -3.41770, 7.04641, 8.26715)
(-2.64824, 3.41770, 7.04641, 8.26715)
(1.30340, -7.69829, -3.08628, 8.39569)
(3.51849, -5.22156, 5.64111, 8.45379)
(-3.95164, 5.89443, 4.85421, 8.59785)
(7.47012, -4.28060, 0.78690, 8.64555)
(8.38181, -0.94096, 2.04360, 8.67851)
(2.21509, -7.69829, 3.44891, 8.72154)
(7.47012, -0.94096, -4.49159, 8.76713)
(1.30340, 2.47674, -8.36477, 8.82057)
(-4.86332, 2.55480, -6.95946, 8.86640)
(-3.95164, 5.89443, -5.70276, 9.10391)
(-8.81496, 1.61384, -2.10525, 9.20544)
(-2.64824, -8.63925, 1.76793, 9.20735)
(-4.86332, -7.77635, -1.68098, 9.32466)
(2.21509, 2.47674, 8.72739, 9.33853)
(8.38181, 2.55480, -3.23488, 9.34057)
(-2.64824, -1.80386, -8.78904, 9.35491)
(-8.81496, 0.00000, 3.17323, 9.36872)
(-4.86332, -4.28060, -6.95946, 9.50839)
(1.30340, -4.35866, -8.36477, 9.52187)
(2.21509, 5.97249, -7.10806, 9.54473)
(1.30340, 5.97249, 7.47069, 9.65301)
(1.30340, 9.31213, 2.19220, 9.65507)
(7.47012, -0.94096, 6.06538, 9.66835)
(-6.16672, -3.41770, 6.68379, 9.71505)
(-6.16672, 3.41770, 6.68379, 9.71505)
(6.16672, -3.41770, -6.68379, 9.71505)
(6.16672, 3.41770, -6.68379, 9.71505)
(2.21509, 9.31213, -1.82958, 9.74524)
(9.68521, -1.80386, -1.04268, 9.90678)
(8.38181, -4.28060, -3.23488, 9.95202)
(0.00000, 8.44923, -5.27848, 9.96252)
(0.00000, 8.44923, 5.27849, 9.96252)
(-3.95164, -7.77635, 4.85421, 9.98251)
(2.21509, -4.35866, 8.72739, 10.00359)
(-4.86332, -0.94096, 8.87599, 10.16467)
(-3.95164, 9.39019, -0.42427, 10.19662)
(3.51849, 8.44923, -4.91586, 10.38917)
(-3.95164, -7.77635, -5.70276, 10.42154)
(8.38181, 5.89443, 2.04360, 10.44870)
(-8.81496, -5.22156, -2.10525, 10.45946)
(-10.11836, 2.47674, 0.98103, 10.46317)
(-2.64824, 5.03153, -8.78904, 10.46789)
(7.47012, 5.89443, -4.49159, 10.52242)
(0.00000, 0.00000, -10.55697, 10.55697)
(0.00000, 0.00000, 10.55697, 10.55697)
(-6.16672, -8.63925, 1.40531, 10.70701)
(6.16672, -8.63925, -1.40530, 10.70701)
(2.21509, -7.69829, -7.10806, 10.70957)
(3.51849, 8.44923, 5.64111, 10.75134)
(3.51849, 0.00000, -10.19435, 10.78445)
(1.30340, -7.69829, 7.47069, 10.80619)
(9.68521, 5.03153, -1.04268, 10.96388)
(-10.11836, -0.86290, -4.29745, 11.02696)
(-10.11836, -4.35866, 0.98103, 11.06081)
(-11.03005, -0.86290, -0.27567, 11.06718)
(9.68521, -3.41770, 4.23580, 11.10972)
(9.68521, 3.41770, 4.23580, 11.10972)
(-2.64824, -10.25309, -3.51056, 11.15629)
(-2.64824, 10.25308, -3.51056, 11.15629)
(-4.86332, 9.39019, 3.59751, 11.17003)
(-3.95164, 2.55480, 10.13270, 11.17202)
(-6.16672, -1.80386, -9.15166, 11.18192)
(6.16672, -1.80386, 9.15167, 11.18192)
(7.47012, 5.89443, 6.06538, 11.28432)
(8.38181, 2.55480, 7.32209, 11.41905)
(3.51849, 0.00000, 10.91959, 11.47246)
(1.30340, -11.19404, 2.19220, 11.48091)
(-8.81496, 0.00000, -7.38374, 11.49883)
(2.21509, -11.19404, -1.82958, 11.55684)
(-8.81496, 6.83539, 3.17323, 11.59722)
(-8.81496, -6.83539, 3.17323, 11.59722)
(8.38181, -7.77635, 2.04360, 11.61476)
(7.47012, -7.77635, -4.49159, 11.68113)
(-3.95164, -4.28060, 10.13270, 11.68805)
(-4.86332, 5.89443, 8.87599, 11.71236)
(-3.95164, -11.11598, -0.42427, 11.80511)
(8.38181, -4.28060, 7.32209, 11.92440)
(-10.11836, -0.86290, 6.25952, 11.92926)
(-3.95164, 2.55480, -10.98124, 11.94697)
(8.38181, -0.94096, -8.51337, 11.98406)
(7.47012, 9.39019, 0.78690, 12.02487)
(9.68521, -3.41770, -6.32117, 12.05989)
(9.68521, 3.41770, -6.32117, 12.05989)
(-6.16672, 5.03153, -9.15166, 12.12838)
(6.16672, 5.03153, 9.15167, 12.12839)
(-2.64824, 11.86692, 1.76793, 12.28668)
(-8.81496, 1.61384, 8.45172, 12.31826)
(-11.03005, 2.47674, 5.00281, 12.36221)
(7.47012, -7.77635, 6.06538, 12.37187)
(-8.81496, 8.44923, -2.10525, 12.39052)
(-3.95164, -4.28060, -10.98124, 12.43087)
(-10.11836, 5.97249, -4.29745, 12.51079)
(-11.03005, 5.97249, -0.27567, 12.54626)
(7.47012, 2.55480, -9.77007, 12.56121)
(-6.16672, -10.25309, -3.87318, 12.57600)
(-6.16672, 10.25308, -3.87318, 12.57600)
(6.16672, 10.25308, 3.87318, 12.57600)
(6.16672, -10.25309, 3.87318, 12.57600)
(0.00000, -6.83539, -10.55697, 12.57665)
(0.00000, 6.83539, -10.55697, 12.57665)
(0.00000, -6.83539, 10.55697, 12.57665)
(0.00000, 6.83539, 10.55697, 12.57665)
(1.30340, 9.31213, -8.36477, 12.58507)
(-11.03005, 2.47674, -5.55416, 12.59543)
(-2.64824, -8.63925, -8.78904, 12.60544)
(-12.33345, 0.00000, 2.81061, 12.64964)
(12.33345, 0.00000, -2.81061, 12.64964)
(-4.86332, -11.11598, 3.59751, 12.65540)
(-4.86332, 9.39019, -6.95946, 12.65945)
(-12.33345, 1.61384, -2.46788, 12.68104)
(12.33345, 1.61384, 2.46788, 12.68104)
(-2.64824, 10.25308, 7.04641, 12.71970)
(-2.64824, -10.25309, 7.04641, 12.71970)
(-2.64824, -1.80386, 12.32490, 12.73461)
(-4.86332, -7.77635, 8.87599, 12.76349)
(3.51849, -6.83539, -10.19435, 12.76820)
(3.51849, 6.83539, -10.19435, 12.76820)
(2.21509, 2.47674, -12.38655, 12.82449)
(-11.03005, -4.35866, 5.00281, 12.87198)
(2.21509, 9.31213, 8.72739, 12.95336)
(8.38181, 9.39019, -3.23488, 12.99595)
(9.68521, -8.63925, -1.04268, 13.02026)
(7.47012, -4.28060, -9.77007, 13.02231)
(1.30340, 2.47674, 12.74917, 13.05276)
(-11.03005, -4.35866, -5.55416, 13.09612)
(0.00000, -12.05694, -5.27848, 13.16177)
(0.00000, -12.05694, 5.27849, 13.16177)
(-4.86332, -0.94096, -12.23795, 13.20245)
(1.30340, 12.80788, -3.08628, 13.23880)
(-8.81496, -5.22156, 8.45172, 13.28155)
(-10.11836, 5.97249, 6.25952, 13.31290)
(2.21509, -4.35866, -12.38655, 13.31657)
(8.38181, 5.89443, -8.51337, 13.32203)
(3.51849, -6.83539, 10.91959, 13.35439)
(3.51849, 6.83539, 10.91959, 13.35439)
(-8.81496, -6.83539, -7.38374, 13.37706)
(-8.81496, 6.83539, -7.38374, 13.37706)
(7.47012, -11.11598, 0.78690, 13.41593)
(-10.11836, -7.69829, -4.29745, 13.42062)
(-6.16672, 11.86692, 1.40531, 13.44720)
(6.16672, 11.86692, -1.40530, 13.44720)
(2.21509, 12.80788, 3.44891, 13.44780)
(-11.03005, -7.69829, -0.27567, 13.45368)
(3.51849, -12.05694, -4.91586, 13.48760)
(1.30340, -4.35866, 12.74917, 13.53655)
(-2.64824, 5.03153, 12.32490, 13.57323)
(6.16672, -1.80386, -11.96227, 13.57860)
(-6.16672, -1.80386, 11.96227, 13.57860)
(-12.33345, -5.22156, -2.46788, 13.61870)
(12.33345, -5.22156, 2.46788, 13.61870)
(0.00000, -13.67078, 0.00000, 13.67078)
(0.00000, 13.67078, 0.00000, 13.67078)
(9.68521, -1.80386, 9.51429, 13.69594)
(-6.16672, 10.25308, 6.68379, 13.70501)
(6.16672, -10.25309, -6.68379, 13.70501)
(6.16672, 10.25308, -6.68379, 13.70501)
(-6.16672, -10.25309, 6.68379, 13.70501)
(-4.86332, 12.72982, -1.68098, 13.73047)
(1.30340, -0.86290, -13.64325, 13.73251)
(3.51849, -12.05694, 5.64111, 13.76851)
(-10.11836, 9.31213, 0.98103, 13.78620)
(7.47012, 2.55480, 11.34387, 13.82075)
(13.63684, 2.47674, -0.61841, 13.87372)
(-4.86332, -11.11598, -6.95946, 13.98753)
(-6.16672, -8.63925, -9.15166, 14.01492)
(6.16672, -8.63925, 9.15167, 14.01492)
(1.30340, -11.19404, -8.36477, 14.03477)
(3.51849, -13.67078, 0.36262, 14.12096)
(3.51849, 13.67078, 0.36262, 14.12096)
(-10.11836, 2.47674, -9.57594, 14.14970)
(-10.11836, -7.69829, 6.25952, 14.17132)
(-3.95164, 12.72982, 4.85421, 14.18545)
(2.21509, -0.86290, 14.00587, 14.20619)
(7.47012, -4.28060, 11.34387, 14.24112)
(8.38181, -7.77635, -8.51337, 14.25496)
(8.38181, -11.11598, -3.23488, 14.29281)
(13.63684, -4.35866, -0.61841, 14.32982)
(2.21509, -11.19404, 8.72739, 14.36595)
(-6.16672, 5.03153, 11.96227, 14.36805)
(6.16672, 5.03153, -11.96227, 14.36805)
(-3.95164, 9.39019, 10.13270, 14.36880)
(-12.33345, 6.83539, 2.81061, 14.37832)
(12.33345, 6.83539, -2.81061, 14.37832)
(-12.33345, -6.83539, 2.81061, 14.37832)
(12.33345, -6.83539, -2.81061, 14.37832)
(-4.86332, 5.89443, -12.23795, 14.42787)
(13.63684, -0.86290, 4.66008, 14.43691)
(9.68521, 5.03153, 9.51429, 14.47899)
(-3.95164, 12.72982, -5.70276, 14.49777)
(8.38181, 9.39019, 7.32209, 14.56171)
(-12.33345, 0.00000, -7.74636, 14.56434)
(12.33345, 0.00000, 7.74636, 14.56434)
(14.54853, -0.86290, 0.63830, 14.58807)
(-10.11836, -4.35866, -9.57594, 14.59718)
(-2.64824, -3.41770, -14.06753, 14.71697)
(-2.64824, 3.41770, -14.06753, 14.71697)
(9.68521, -10.25309, 4.23580, 14.72654)
(9.68521, 10.25308, 4.23580, 14.72654)
(2.21509, 12.80788, -7.10806, 14.81462)
(-12.33345, 1.61384, 8.08909, 14.83751)
(12.33345, 1.61384, -8.08909, 14.83751)
(-8.81496, 8.44923, 8.45172, 14.85007)
(13.63684, -0.86290, -5.89689, 14.88225)
(1.30340, 12.80788, 7.47069, 14.88462)
(1.30340, -14.53368, -3.08628, 14.91482)
(1.30340, 5.97249, -13.64325, 14.95018)
(-3.95164, 9.39019, -10.98124, 14.97928)
(-2.64824, 11.86692, -8.78904, 15.00281)
(-8.81496, -12.05694, -2.10525, 15.08329)
(2.21509, -14.53368, 3.44891, 15.10064)
(-11.03005, -0.86290, 10.28130, 15.10336)
(-10.11836, -11.19404, 0.98103, 15.12118)
(-12.33345, 8.44923, -2.46788, 15.15235)
(12.33345, 8.44923, 2.46788, 15.15235)
(8.38181, -0.94096, 12.60057, 15.16293)
(-4.86332, 2.55480, 14.15448, 15.18315)
(9.68521, -1.80386, -11.59965, 15.21871)
(-11.03005, 9.31213, 5.00281, 15.27762)
(-2.64824, -8.63925, 12.32490, 15.28244)
(-4.86332, -7.77635, -12.23795, 15.29349)
(9.68521, 11.86692, -1.04268, 15.35299)
(8.38181, 12.72982, 2.04360, 15.37789)
(-14.98168, -3.41770, -0.69995, 15.38250)
(-14.98168, 3.41770, -0.69995, 15.38250)
(2.21509, 5.97249, 14.00587, 15.38642)
(7.47012, 12.72982, -4.49159, 15.42807)
(9.68521, 10.25308, -6.32117, 15.45594)
(9.68521, -10.25309, -6.32117, 15.45594)
(-11.03005, 9.31213, -5.55416, 15.46694)
(14.54853, 2.47674, -4.64019, 15.47015)
(7.47012, 9.39019, -9.77007, 15.47361)
(-11.03005, -0.86290, -10.83264, 15.48395)
(-4.86332, -14.61174, -1.68098, 15.49131)
(-8.81496, 1.61384, -12.66222, 15.51257)
(-10.11836, 2.47674, 11.53800, 15.54480)
(-3.95164, -11.11598, 10.13270, 15.55159)
(-4.86332, -4.28060, 14.15448, 15.56678)
(13.63684, 5.97249, 4.66008, 15.59970)
(-12.33345, -5.22156, 8.08909, 15.64647)
(12.33345, -5.22156, -8.08909, 15.64647)
(2.21509, 9.31213, -12.38655, 15.65404)
(1.30340, -7.69829, -13.64325, 15.71944)
(8.38181, -11.11598, 7.32209, 15.73000)
(14.54853, 5.97249, 0.63830, 15.73969)
(-14.98168, -1.80386, 4.57854, 15.76920)
(-2.64824, -15.47464, 1.76793, 15.79884)
(1.30340, 9.31213, 12.74917, 15.84159)
(14.54853, -4.35866, -4.64019, 15.88046)
(-3.95164, -14.61174, 4.85421, 15.89597)
(14.54853, 2.47674, 5.91678, 15.89976)
(0.00000, 1.61384, -15.83545, 15.91748)
(0.00000, 1.61384, 15.83545, 15.91748)
(9.68521, 5.03153, -11.59965, 15.92707)
(-3.95164, -0.94096, 15.41118, 15.93754)
(3.51849, 1.61384, -15.47283, 15.94969)
(-10.11836, -4.35866, 11.53800, 15.95320)
(7.47012, 12.72982, 6.06538, 15.95744)
(6.16672, -8.63925, -11.96227, 15.99253)
(-6.16672, -8.63925, 11.96227, 15.99253)
(13.63684, 5.97249, -5.89689, 16.01273)
(15.85193, 0.00000, -2.44799, 16.03984)
(-6.16672, -3.41770, -14.43015, 16.06046)
(-6.16672, 3.41770, -14.43015, 16.06046)
(6.16672, -3.41770, 14.43015, 16.06046)
(6.16672, 3.41770, 14.43015, 16.06046)
(-12.33345, -6.83539, -7.74636, 16.08858)
(-12.33345, 6.83539, -7.74636, 16.08858)
